Price,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F
2021-02-24,63.220001220703125,63.5099983215332,60.970001220703125,61.290000915527344,489933
2021-02-25,63.529998779296875,63.810001373291016,62.650001525878906,63.38999938964844,510357
2021-02-26,61.5,63.56999969482422,61.34000015258789,63.459999084472656,472723
2021-03-01,60.63999938964844,62.91999816894531,59.959999084472656,61.95000076293945,456679
2021-03-02,59.75,61.209999084472656,59.380001068115234,60.22999954223633,464133
2021-03-03,61.279998779296875,61.9900016784668,59.2400016784668,59.54999923706055,465311
2021-03-04,63.83000183105469,64.86000061035156,60.52000045776367,61.08000183105469,694628
2021-03-05,66.08999633789062,66.41999816894531,63.81999969482422,64.16000366210938,573168
2021-03-08,65.05000305175781,67.9800033569336,64.56999969482422,66.68000030517578,533376
2021-03-09,64.01000213623047,65.9800033569336,63.630001068115234,64.7300033569336,554564
2021-03-10,64.44000244140625,64.95999908447266,63.130001068115234,63.84000015258789,498488
2021-03-11,66.0199966430664,66.20999908447266,64.54000091552734,64.69999694824219,441063
2021-03-12,65.61000061035156,66.23999786376953,65.41000366210938,65.95999908447266,321714
2021-03-15,65.38999938964844,66.4000015258789,64.12999725341797,65.55999755859375,378009
2021-03-16,64.80000305175781,65.43000030517578,63.79999923706055,65.33000183105469,317537
2021-03-17,64.5999984741211,65.33999633789062,63.599998474121094,64.75,254724
2021-03-18,60.0,64.81999969482422,58.20000076293945,64.41999816894531,143597
2021-03-19,61.41999816894531,61.720001220703125,58.939998626708984,59.560001373291016,84171
2021-03-22,61.54999923706055,61.900001525878906,60.38999938964844,61.54999923706055,404370
2021-03-23,57.7599983215332,61.349998474121094,57.25,61.279998779296875,712317
2021-03-24,61.18000030517578,61.34000015258789,57.290000915527344,57.400001525878906,566291
2021-03-25,58.560001373291016,60.86000061035156,57.439998626708984,60.79999923706055,580105
2021-03-26,60.970001220703125,61.36000061035156,58.31999969482422,58.47999954223633,471996
2021-03-29,61.560001373291016,61.77000045776367,59.40999984741211,60.93000030517578,449360
2021-03-30,60.54999923706055,62.27000045776367,59.939998626708984,61.959999084472656,388188
2021-03-31,59.15999984741211,61.16999816894531,58.849998474121094,60.45000076293945,414162
2021-04-01,61.45000076293945,61.75,58.86000061035156,59.4900016784668,605567
2021-04-05,58.650001525878906,61.5,57.630001068115234,61.5,438864
2021-04-06,59.33000183105469,60.900001525878906,58.619998931884766,58.79999923706055,457348
2021-04-07,59.77000045776367,60.040000915527344,58.119998931884766,59.2599983215332,475537
2021-04-08,59.599998474121094,59.93000030517578,58.81999969482422,59.52000045776367,419913
2021-04-09,59.31999969482422,59.95000076293945,59.099998474121094,59.7599983215332,351436
2021-04-12,59.70000076293945,60.77000045776367,58.72999954223633,59.349998474121094,410218
2021-04-13,60.18000030517578,60.59000015258789,59.63999938964844,59.63999938964844,349733
2021-04-14,63.150001525878906,63.439998626708984,60.380001068115234,60.439998626708984,419813
2021-04-15,63.459999084472656,63.56999969482422,62.529998779296875,62.83000183105469,243370
2021-04-16,63.130001068115234,63.880001068115234,62.83000183105469,63.31999969482422,87795
2021-04-19,63.380001068115234,63.630001068115234,62.630001068115234,62.97999954223633,74384
2021-04-20,62.439998626708984,64.25,61.5,63.470001220703125,476046
2021-04-21,61.349998474121094,62.560001373291016,60.86000061035156,62.38999938964844,431486
2021-04-22,61.43000030517578,61.869998931884766,60.61000061035156,61.11000061035156,344700
2021-04-23,62.13999938964844,62.43000030517578,61.25,61.650001525878906,345407
2021-04-26,61.90999984741211,62.310001373291016,60.65999984741211,62.060001373291016,366865
2021-04-27,62.939998626708984,63.29999923706055,61.90999984741211,61.970001220703125,361536
2021-04-28,63.86000061035156,64.52999877929688,62.66999816894531,63.040000915527344,387683
2021-04-29,65.01000213623047,65.47000122070312,63.650001525878906,63.70000076293945,384489
2021-04-30,63.58000183105469,64.94999694824219,63.08000183105469,64.87999725341797,400515
2021-05-03,64.48999786376953,64.68000030517578,62.90999984741211,63.63999938964844,285969
2021-05-04,65.69000244140625,66.19000244140625,64.29000091552734,64.52999877929688,370208
2021-05-05,65.62999725341797,66.76000213623047,64.91999816894531,66.44999694824219,460066
2021-05-06,64.70999908447266,65.9800033569336,64.5,65.2699966430664,389214
2021-05-07,64.9000015258789,65.23999786376953,63.900001525878906,64.9000015258789,431417
2021-05-10,64.91999816894531,65.75,63.95000076293945,65.56999969482422,448337
2021-05-11,65.27999877929688,65.5,63.68000030517578,64.9000015258789,514949
2021-05-12,66.08000183105469,66.62999725341797,64.97000122070312,65.45999908447266,508519
2021-05-13,63.81999969482422,65.80999755859375,63.09000015258789,65.75,547691
2021-05-14,65.37000274658203,65.62000274658203,63.33000183105469,63.83000183105469,383749
2021-05-17,66.2699966430664,66.43000030517578,64.83000183105469,65.5,268476
2021-05-18,65.48999786376953,67.01000213623047,64.11000061035156,66.33000183105469,167348
2021-05-19,63.36000061035156,65.3499984741211,61.95000076293945,65.27999877929688,101902
2021-05-20,62.04999923706055,63.959999084472656,61.88999938964844,63.38999938964844,524168
2021-05-21,63.58000183105469,64.06999969482422,61.560001373291016,61.88999938964844,530831
2021-05-24,66.05000305175781,66.13999938964844,63.630001068115234,63.869998931884766,466647
2021-05-25,66.06999969482422,66.51000213623047,65.41000366210938,66.0199966430664,497394
2021-05-26,66.20999908447266,66.43000030517578,65.25,66.04000091552734,376207
2021-05-27,66.8499984741211,66.91999816894531,65.47000122070312,66.16000366210938,337542
2021-05-28,66.31999969482422,67.5199966430664,66.16999816894531,66.94999694824219,390461
2021-06-01,67.72000122070312,68.87000274658203,66.41000366210938,66.68000030517578,570985
2021-06-02,68.83000183105469,69.0,67.77999877929688,67.98999786376953,332995
2021-06-03,68.80999755859375,69.4000015258789,68.19000244140625,68.76000213623047,351367
2021-06-04,69.62000274658203,69.76000213623047,68.33000183105469,68.91000366210938,326250
2021-06-07,69.2300033569336,70.0,68.93000030517578,69.5199966430664,365621
2021-06-08,70.05000305175781,70.2699966430664,68.47000122070312,69.29000091552734,441302
2021-06-09,69.95999908447266,70.62000274658203,69.45999908447266,70.01000213623047,410820
2021-06-10,70.29000091552734,70.6500015258789,68.68000030517578,69.76000213623047,492464
2021-06-11,70.91000366210938,71.23999786376953,69.68000030517578,70.0999984741211,563575
2021-06-14,70.87999725341797,71.77999877929688,70.6500015258789,70.6500015258789,319639
2021-06-15,72.12000274658203,72.48999786376953,70.80999755859375,71.16000366210938,336035
2021-06-16,72.1500015258789,72.98999786376953,71.61000061035156,72.44999694824219,426775
2021-06-17,71.04000091552734,72.30000305175781,69.7699966430664,71.6500015258789,373780
2021-06-18,71.63999938964844,72.16999816894531,70.16000366210938,71.0999984741211,139584
2021-06-21,73.66000366210938,73.95999908447266,71.1500015258789,71.5199966430664,123662
2021-06-22,73.05999755859375,73.94999694824219,72.94000244140625,73.41000366210938,498555
2021-06-23,73.08000183105469,74.25,72.81999969482422,72.91000366210938,429207
2021-06-24,73.30000305175781,73.61000061035156,72.31999969482422,73.27999877929688,334833
2021-06-25,74.05000305175781,74.18000030517578,72.8499984741211,73.31999969482422,364721
2021-06-28,72.91000366210938,74.44999694824219,72.62000274658203,73.98999786376953,354701
2021-06-29,72.9800033569336,73.80999755859375,71.97000122070312,72.77999877929688,321448
2021-06-30,73.47000122070312,74.13999938964844,72.81999969482422,73.47000122070312,383626
2021-07-01,75.2300033569336,76.22000122070312,73.38999938964844,73.5,615678
2021-07-02,75.16000366210938,75.62000274658203,74.41000366210938,75.0199966430664,377531
2021-07-06,73.37000274658203,76.9800033569336,72.94000244140625,75.3499984741211,714044
2021-07-07,72.19999694824219,74.86000061035156,71.06999969482422,73.8499984741211,607971
2021-07-08,72.94000244140625,73.26000213623047,70.76000213623047,72.16999816894531,529690
2021-07-09,74.55999755859375,74.76000213623047,72.72000122070312,73.26000213623047,422154
2021-07-12,74.0999984741211,74.93000030517578,73.16000366210938,74.73999786376953,397931
2021-07-13,75.25,75.5199966430664,73.68000030517578,74.18000030517578,444078
2021-07-14,73.12999725341797,75.44000244140625,72.20999908447266,75.16999816894531,528360
2021-07-15,71.6500015258789,72.95999908447266,71.4000015258789,72.95999908447266,368679
2021-07-16,71.80999755859375,72.30000305175781,70.41000366210938,71.4800033569336,133926
2021-07-19,66.41999816894531,71.66999816894531,65.62999725341797,71.48999786376953,82565
2021-07-20,67.41999816894531,67.6500015258789,65.20999908447266,66.5999984741211,561629
2021-07-21,70.30000305175781,70.51000213623047,66.44000244140625,66.44999694824219,503030
2021-07-22,71.91000366210938,72.02999877929688,69.86000061035156,70.22000122070312,435181
2021-07-23,72.06999969482422,72.20999908447266,71.38999938964844,71.70999908447266,274778
2021-07-26,71.91000366210938,72.43000030517578,70.55999755859375,72.18000030517578,395743
